Ndex,Cameo Pokémon,Card name,Set,#,Notes
387,Turtwig,Switch,Diamond & Pearl,119,
,,,Secret Wonders,128,
,,,Stormfront,93,
,,Fossil Excavator,Mysterious Treasures,111,
,,,Majestic Dawn,82,
,,Tropical Wind,DP Promos,5,
,,Captain Pikachu,Pokémon Center promo,-,Jumbo
390,Chimchar,Energy Switch,Diamond & Pearl,107,
,,,Stormfront,84,
,,Tropical Wind,DP Promos,5,
,,Captain Pikachu,Pokémon Center promo,-,Jumbo
393,Piplup,Super Scoop Up,Diamond & Pearl,115,
,,,Majestic Dawn,87,
,,Roseanne's Research,Secret Wonders,125,
,,,POP Series 8,11,
,,Bubble Coat,Legends Awakened,129,
,,Poké Healer +,Stormfront,90,
,,Tropical Wind,DP Promos,5,
,,Captain Pikachu,Pokémon Center promo,-,Jumbo
,,Spiky-Eared Pichu M,2009 Card Design Contest,Kindergarten,
,,Spiky-Eared Pichu M,2009 Card Design Contest,Televi-Kun,
,,Arceus,2009 Card Design Contest,CoroCoro Comic,
,,Bulbasaur,DPt-P Promos,30,
,,Michina Temple,DPt-P Promos,44,
,,Illusion's Zorua,2010 Card Design Contest,1st Grade,
,,Illusion's Zorua,2010 Card Design Contest,Pokémon Fan,
,,Mewtwo,BW-P Promos,-,Jumbo
,,Sapporo's Pikachu,SM-P Promos,5,
,,Rosanne's Backup,Brilliant Stars,148,bookmark
396,Starly,Energy Switch,Diamond & Pearl,107,
,,,Stormfront,84,
,,Professor Oak's Visit,Secret Wonders,122,
,,,Arceus,90,
,,Mt. Coronet,Hidden Fates,SV89,
,,Bird Keeper,Shining Fates,66,
,,Bidoof,Brilliant Stars,120,
,,Hisuian Lilligant V,Astral Radiance,163,
,,Arceus V,SWSH Promos,204,
,,Hisuian Goodra,Crown Zenith,GG21,
,,Grusha,Paldea Evolved,268,
,,Garganacl,Paradox Rift,202,
,,Grotle,Temporal Forces,164,
,,Probopass,Twilight Masquerade,182,
,,Dawn,Phantasmal Flames,129,sign
397,Staravia,Arceus V,SWSH Promos,204,
398,Staraptor,Tyranitar,Paldea Evolved,222,
399,Bidoof,Poké Blower +,Stormfront,88,
,,Tropical Wind,DP Promos,48,
,,Champions Festival,BW Promos,95,
,,Jubilife Village,Astral Radiance,212,
,,Ivysaur,Pokémon GO,2,
,,Arceus V,SWSH Promos,204,
,,Celebratory Fanfare,S-P Promos,306,
,,Bibarel,Crown Zenith,GG25,
,,Probopass,Twilight Masquerade,182,
,,Turtwig,MEP Promos,40,picture
402,Kricketune,Champions Festival,SM Promos,148,
,,Champions Festival,SM Promos,231,picture
403,Shinx,Bench Shield,Arceus,83,
,,Poké-lun TV's Pikachu and Friends,S-P Promos,-,Jumbo
404,Luxio,Iono,Paldean Fates,237,
405,Luxray,Detective Pikachu,SV-P Promos,98,only partially visible
406,Budew,Spiky-Eared Pichu M,2009 Card Design Contest,Pucchigumi,
,,Slakoth,Unified Minds,167,
,,Celebratory Fanfare,MEP Promos,28,
,,Litten,SM-P Promos,259,picture
,,Marnie,Sword & Shield,169,
,,,Champion's Path,56,
407,Roserade,Super Scoop Up,Unleashed,83,
408,Cranidos,Fossil Excavator,Mysterious Treasures,111,
,,,Majestic Dawn,82,
,,Aerodactyl V,Lost Origin,180,
,,Skull Fossil,Mysterious Treasures,117,fossil
,,Skull Fossil,Platinum,120,
,,Unidentified Fossil,Ultra Prism,134,
,,,Forbidden Light,116,
,,,Team Up,155,
,,,Unified Minds,210,
,,,Cosmic Eclipse,207,
,,Unidentified Fossil,Astral Radiance,157,
,,,Silver Tempest,165,
,,Turtwig,MEP Promos,40,
409,Rampardos,Aerodactyl V,Lost Origin,180,
410,Shieldon,Aerodactyl V,Lost Origin,180,
,,Fossil Excavator,Mysterious Treasures,111,fossil
,,,Majestic Dawn,82,
,,Armor Fossil,Mysterious Treasures,116,
,,Armor Fossil,Platinum,119,
,,Armor Fossil Shieldon,Steam Siege,98,
,,Unidentified Fossil,Ultra Prism,134,
,,,Forbidden Light,116,
,,,Team Up,155,
,,,Unified Minds,210,
,,,Cosmic Eclipse,207,
,,Unidentified Fossil,Astral Radiance,157,
,,,Silver Tempest,165,
,,Turtwig,MEP Promos,40,
411,Bastiodon,Aerodactyl V,Lost Origin,180,
,,Roxanne,Crown Zenith,GG66,fossil
412,Burmy,Lampent,Steam Siege,49,
415,Combee,Influencer's Introduction,Start Deck 100 CoroCiao Version,19,plushie
417,Pachirisu,Fossil Excavator,Mysterious Treasures,111,
,,,Majestic Dawn,82,
,,Tropical Wind,DP Promos,25,
,,Touch Exchange!,Miscellaneous Promos,-,
,,Energy Pickup,Legends Awakened,132,
,,Illusion's Zorua,2010 Card Design Contest,Pokémon Fan,
,,Hisuian Lilligant V,Astral Radiance,163,
,,Zeraora VMAX,Crown Zenith,GG42,
,,Gardevoir ex,Paldean Fates,233,
,,Department Store Girl,Arceus,85,plushie
418,Buizel,Captain Pikachu,Pokémon Center promo,-,Jumbo
419,Floatzel,Pokémon Reversal,Raichu Starter Deck,8,
420,Cherubi,Pokémon Pal City,Tōhoku Battle City Promo,-,
,,Gardenia's Vigor,Crown Zenith,GG61,
