Ndex,Cameo Pokémon,Card name,Set,#,Notes
1,Bulbasaur,Pokémon Valley,Miscellaneous Promos,-,Jumbo
,,Town Volunteers,Aquapolis,136,
,,Venture Bomb,Team Rocket Returns,93,
,,Rattata,Pokémon Rumble,15,
,,Champions Festival,XY Promos,176,
,,Pikachu,XY-P Promos,279,
,,M Sachiko-EX,XY-P Promos,298,
,,Red's Challenge,Tag All Stars,201,
,,Rescue Team DX's Pikachu,S-P Promos,36,
,,Poké-lun TV's Pikachu and Friends,S-P Promos,-,Jumbo
,,Ditto,Delta Species,36,Ditto's disguise
,,Team Rocket's Meowth,Wizards Promos,18,silhouette
,,Pokémon Communication,Team Up,152b,
,,Champions Festival,SM Promos,231,picture
2,Ivysaur,Togepi,Southern Islands,4,only partially visible
,,Raticate,Southern Islands,6,
,,Gardenia's Vigor,Crown Zenith,GG61,
,,Bulbasaur,Mega Evolution,133,
3,Venusaur,Charizard-EX,XY-P Promos,276,
,,Charizard V,Brilliant Stars,154,
,,Charizard V,SWSH Promos,260,
,,Mega Venusaur ex,Mega Evolution,155,
,,Mega Venusaur ex,Mega Evolution,177,
,,Ivysaur,Mega Evolution,134,only partially visible
,Mega Venusaur,Venusaur Spirit Link,Evolutions,89,
,,Mega Lucario ex,Mega Evolution,179,
4,Charmander,Pikachu's Summer Vacation,Miscellaneous Promos,-,Jumbo
,,Weakness Guard,Aquapolis,141,
,,Bulbasaur,DPt-P Promos,30,
,,Champions Festival,XY Promos,176,
,,Pikachu,XY-P Promos,279,
,,M Sachiko-EX,XY-P Promos,298,
,,Blue's Tactics,Tag All Stars,193,
,,Celebratory Fanfare,SV-P Promos,110,
,,Mega Charizard X ex,Phantasmal Flames,125,
,,Ditto,Delta Species,37,Ditto's disguise
,,Ditto,Delta Species,61,
,,Pokémon Illustrator,Miscellaneous Promos,-,drawing
,,Champions Festival,SM Promos,231,picture
5,Charmeleon,Swablu,Legendary Treasures,103,
,,Mega Charizard X ex,Phantasmal Flames,125,
6,Charizard,Mew,Southern Islands,1,
,,New Year Present,Miscellaneous Promos,-,Jumbo
,,Lucky Stadium,Wizards Promos,41,
,,Special Delivery Bidoof,SWSH Promos,177,
,,Mewtwo VSTAR,Crown Zenith,GG44,
,,Pikachu,SV Promos,101,
,,Pikachu,SV-P Promos,153,this card was only released in Traditional Chinese
,,Mega Charizard X ex,Phantasmal Flames,109,
,,Mega Charizard X ex,Phantasmal Flames,125,
,,Greninja,Unbroken Bonds,117,shadow
,,Charmander,151,4,
,,,Paldean Fates,7,
,,Team Rocket's Meowth,Wizards Promos,18,silhouette
,,Influencer's Introduction,Start Deck 100 CoroCiao Version,19,plushie
,,The Masked Royal,Celestial Storm,139,Battle Royal Red Corner
,,Elesa's Sparkle,Crown Zenith,147,amusement park fixture
,Mega Charizard X,Charizard Spirit Link,Evolutions,75,
,,Poncho-wearing Pikachu,XY-P Promos,207,costume
,Mega Charizard Y,Charizard Spirit Link,Evolutions,75,
,,Mega Tokyo's Pikachu,XY-P Promos,98,costume
,,Mega Tokyo's Pikachu,XY-P Promos,204,
,,Poncho-wearing Pikachu,XY-P Promos,208,
7,Squirtle,Pikachu's Summer Vacation,Miscellaneous Promos,-,Jumbo
,,Pokémon Valley,Miscellaneous Promos,-,Jumbo
,,Misty's Tears,Gym Challenge,118,
,,Town Volunteers,Aquapolis,136,
,,Tropical Present,Miscellaneous Promos,©2001,Jumbo
,,Champions Festival,XY Promos,176,
,,Pikachu,XY-P Promos,279,
,,M Sachiko-EX,XY-P Promos,298,
,,Green's Exploration,Tag All Stars,196,
,,Team Rocket's Meowth,Wizards Promos,18,
,,Ditto,Delta Species,40,Ditto's disguise
,,Ditto,Delta Species,64,
,,Champions Festival,SM Promos,231,picture
,,Flower Shop Lady,Undaunted,74,Squirtbottle
,,Chansey,Hidden Fates,46,
,,Hoopa V,Crown Zenith,GG53,
,,Misty's Cerulean City Gym,Hidden Fates,61,mural
8,Wartortle,Togepi,Southern Islands,4,
9,Blastoise,Pokémon Reversal,Expedition,146,
,,Pikachu,151,173,
,Mega Blastoise,Blastoise Spirit Link,Evolutions,73,
10,Caterpie,Light Wigglytuff,Neo Destiny,54,
,,Pikachu,XY-P Promos,-,
,,Pikachu,Celebrations,5,
,,Pikachu,151,173,
12,Butterfree,Snubbull,Neo Revelation,55,
,,Spiky-Eared Pichu M,2009 Card Design Contest,Kindergarten,
,,Pikachu,Celebrations,5,
,,Pikachu,151,173,
,,Drampa,Temporal Forces,184,
,,Team Rocket's Meowth,Wizards Promos,18,silhouette
13,Weedle,Scoop Up,Base Set,78,
,,,Base Set 2,107,
,,,Legendary Collection,104,
,,Gust of Wind,Base Set,93,
,,,Base Set 2,120,
,,Mr. Fuji,Fossil,58,
,,Pokémon Fan Club,POP Series 4,9,
,,Wigglytuff,Crimson Invasion,72,
,,Gloom,Obsidian Flames,198,
,,Pokémon Communication,Team Up,152b,silhouette
14,Kakuna,Switch,Base Set,95,
,,,Base Set 2,123,
,,,VS: Tropical Mega Battle,-,
,,,Evolutions,88,
,,Pikachu,XY-P Promos,-,
,,Komala,Lost Origin,149,
15,Beedrill,Koga's Kakuna,Gym Challenge,47,
,,Mew,XY-P Promos,-,
,,Blaine's Quiz #1,Gym Heroes,97,silhouette
,Mega Beedrill,Beedrill Spirit Link,XY Promos,159,
