Ndex,Cameo Pokémon,Card name,Set,#,Notes
152,Chikorita,Pokémon March,Neo Genesis,102,
,,Professor Elm's Training Method,Expedition,148,
,,,Unseen Forces,89,
,,,Dragon Frontiers,79,
,,Pokémon Park,Aquapolis,131,
,,,POP Series 2,10,
,,Tropical Present,Miscellaneous Promos,©2001,Jumbo
,,Switch,HeartGold & SoulSilver,102,
,,Slowbro,Undaunted,38,
,,Illusion's Zorua,2010 Card Design Contest,Pokémon Fan,
,,Mewtwo,BW-P Promos,-,Jumbo
,,Pikachu,BW-P Promos,©2013,Jumbo
,,Fennekin,Fates Collide,10,
,,Professor Elm's Lecture,Lost Thunder,188,
,,Professor Elm's Lecture,Lost Thunder,213,
,,Litten,SM-P Promos,374,
,,Meowth,SM-P Promos,375,
,,Lucky Stadium,Intro Pack Neo - Totodile,-,silhouette
154,Meganium,Victory Medal,L-P Promos,41,
155,Cyndaquil,Professor Elm,Neo Genesis,96,
,,,Best of Game,3,
,,Pokémon March,Neo Genesis,102,
,,Professor Elm's Training Method,Expedition,148,
,,,Unseen Forces,89,
,,,Dragon Frontiers,79,
,,Pokémon Park,Aquapolis,131,
,,,POP Series 2,10,
,,Spiky-Eared Pichu M,2009 Card Design Contest,Kindergarten,
,,Slowbro,Undaunted,38,
,,Illusion's Zorua,2010 Card Design Contest,Pokémon Fan,
,,Professor Elm's Lecture,Lost Thunder,188,
,,Professor Elm's Lecture,Lost Thunder,213,
,,Ethan's Adventure,Destined Rivals,236,
157,Typhlosion,Energy Switch,HeartGold & SoulSilver,91,
,,Victory Medal,Battle Road Spring Promo,-,
,,Victory Medal,Battle Road Autumn Promo,-,
158,Totodile,Pokémon March,Neo Genesis,102,
,,Professor Elm's Training Method,Expedition,148,
,,,Unseen Forces,89,
,,,Dragon Frontiers,79,
,,Slowpoke,Undaunted,66,
,,Professor Elm's Lecture,Lost Thunder,188,
,,Professor Elm's Lecture,Lost Thunder,213,
,,Cofagrigus,Lost Thunder,100,statue
,,Lucky Stadium,Intro Pack Neo - Totodile,-,silhouette
160,Feraligatr,Pokémon Reversal,HeartGold & SoulSilver,99,
,,Victory Medal,L-P Promos,43,
161,Sentret,Double Gust,Neo Genesis,100,
,,Pokémon March,Neo Genesis,102,
