Ndex,Cameo Pokémon,Card name,Set,#,Notes
906,Sprigatito,Pikachu,SV Promos,27,
,,Paradise Resort,SV Promos,45,
,,Victory Symbol,SV-P Promos,2nd,
,,Pikachu,SV Promos,88,
,,Terapagos & Friends,SV Promos,-,Jumbo
,,Levincia,Journey Together,150,picture
,,Levincia,Destined Rivals,244,
908,Meowscarada,Celebratory Fanfare,SV-P Promos,110,
909,Fuecoco,Pikachu,SV Promos,27,
,,Paradise Resort,SV Promos,45,
,,Victory Symbol,SV-P Promos,2nd,
,,Terapagos & Friends,SV Promos,-,Jumbo
910,Crocalor,Levincia,Journey Together,150,picture
,,Levincia,Destined Rivals,244,
912,Quaxly,Pikachu,SV Promos,27,
,,Paradise Resort,SV Promos,45,
,,Victory Symbol,SV-P Promos,2nd,
,,Terapagos & Friends,SV Promos,-,Jumbo
913,Quaxwell,Levincia,Journey Together,150,picture
,,Levincia,Destined Rivals,244,
915,Lechonk,Artazon,Obsidian Flames,229,
,,Professor Sada's Vitality,Paradox Rift,256,
,,Clive,Paldean Fates,236,
,,Paradise Resort,SV Promos,150,
921,Pawmi,Pawmot,Scarlet & Violet,209,
,,Professor Sada's Vitality,Paradox Rift,256,
,,Nemona,Paldean Fates,238,
,,Salvatore,Temporal Forces,212,mug
922,Pawmo,Pawmot,Scarlet & Violet,209,
923,Pawmot,Pikachu,SV Promos,88,
924,Tandemaus,Iono,Paldea Evolved,269,picture
,,Maushold ex,Bonus Turn,158,picture; this card was only released in Simplified Chinese
925,Maushold,Paradise Resort,SV Promos,45,
,,Pikachu,SV Promos,88,
,,Paradise Resort,SV Promos,224,
927,Dachsbun,Miraidon ex,Scarlet & Violet,244,
928,Smoliv,Professor Sada's Vitality,Paradox Rift,256,
931,Squawkabilly,Celebratory Fanfare,SV-P Promos,110,
,,Paradise Resort,SV Promos,150,
935,Charcadet,Clive,Paldean Fates,236,
938,Tadbulb,Clive,Paldean Fates,236,
,,Levincia,Destined Rivals,244,
,,Iono's Bellibolt ex,Ascended Heroes,279,
939,Bellibolt,Iono,Paldean Fates,237,
940,Wattrel,Iono,Paldean Fates,237,
942,Maschiff,Kieran,Twilight Masquerade,218,clothing design
,,Lacey,Stellar Crown,172,
,,Drayton,Surging Sparks,174,
,,Drayton,Surging Sparks,232,
,,Drayton,Surging Sparks,244,
,,Drayton,Prismatic Evolutions,172,
943,Mabosstiff,Arven,Paldean Fates,235,
944,Shroodle,Gravity Mountain,Surging Sparks,250,
946,Bramblin,Flygon,Phantasmal Flames,101,
951,Capsakid,Cramorant,Twilight Masquerade,176,
959,Tinkaton,Hiroshima's Pikachu,SV-P Promos ,261,
963,Finizen,Palafin,Obsidian Flames,200,
,,Palafin,Paldean Fates,225,
964,Palafin,Paradise Resort,SV Promos,150,
966,Revavroom,Paradise Resort,SV Promos,224,
967,Cyclizar,Victini ex,SV-P Promos,52,"this card was only released in Traditional Chinese, Indonesian, Thai, and Simplified Chinese"
,,Professor Turo's Scenario,Paradox Rift,257,
970,Glimmora,Area Zero Underdepths,Stellar Crown,174,
973,Flamigo,Beach Court,Paradox Rift,263,
,,Paradise Resort,SV Promos,224,
978,Tatsugiri,Dondozo,Scarlet & Violet,61,
,,Dondozo,Scarlet & Violet,207,
979,Annihilape,Eri,Temporal Forces,210,
980,Clodsire,Rika,Bonus Turn,159,this card was only released in Simplified Chinese
985,Scream Tail,Roaring Moon ex,Paradox Rift,251,
986,Brute Bonnet,Roaring Moon ex,Paradox Rift,251,
987,Flutter Mane,Roaring Moon ex,Paradox Rift,251,
988,Slither Wing,Roaring Moon ex,Paradox Rift,251,
989,Sandy Shocks,Roaring Moon ex,Paradox Rift,251,
991,Iron Bundle,Iron Valiant ex,Paradox Rift,249,
992,Iron Hands,Celebratory Fanfare,SV-P Promos,174,
994,Iron Moth,Iron Valiant ex,Paradox Rift,249,
995,Iron Thorns,Iron Valiant ex,Paradox Rift,249,
,,Pikachu,SV Promos,225,
996,Frigibax,Celebratory Fanfare,SV-P Promos,110,
999,Gimmighoul,Victini ex,SV-P Promos,52,"this card was only released in Traditional Chinese, Indonesian, Thai, and Simplified Chinese"
1000,Gholdengo,Celebratory Fanfare,SV-P Promos,174,
,,Paradise Resort,SV Promos,150,
,,Gimmighoul,Paradox Rift,198,only partially visible
1005,Roaring Moon,Celebratory Fanfare,SV-P Promos,174,
1007,Koraidon,Victory Symbol,SV-P Promos,1st,
,,Celebratory Fanfare,SV-P Promos,110,
,,Pikachu ex,2023 World Championship Deck,1,
,,Explorer's Guidance,Temporal Forces,148,Scarlet Book
,,,Prismatic Evolutions,107,
,,Explorer's Guidance,Temporal Forces,200,
1008,Miraidon,Victory Symbol,SV-P Promos,1st,
,,Celebratory Fanfare,SV-P Promos,110,
,,Pikachu ex,2023 World Championship Deck,1,
,,Ciphermaniac's Codebreaking,Temporal Forces,145,Violet Book
,,,Prismatic Evolutions,104,
,,Ciphermaniac's Codebreaking,Temporal Forces,198,
,,Ciphermaniac's Codebreaking,Blade Awakening,245,Violet Book; this card was only released in Simplified Chinese
1014,Okidogi,Caretaker,Twilight Masquerade,144,sign
,,Community Center,Twilight Masquerade,146,
,,Clefairy,Twilight Masquerade,78,statue
,,Kieran,Twilight Masquerade,218,mask
1015,Munkidori,Caretaker,Twilight Masquerade,144,sign
,,Community Center,Twilight Masquerade,146,
,,Clefairy,Twilight Masquerade,78,statue
,,Kieran,Twilight Masquerade,218,mask
1016,Fezandipiti,Caretaker,Twilight Masquerade,144,sign
,,Community Center,Twilight Masquerade,146,
,,Clefairy,Twilight Masquerade,78,statue
1017,Ogerpon,Celebratory Fanfare,SV-P Promos,174,
,,Ogre's Mask,Twilight Masquerade,159,mask
,,,Prismatic Evolutions,118,
,,Dipplin,Twilight Masquerade,170,
,,Kieran,Twilight Masquerade,218,
1024,Terapagos,Sprigatito,Gem Pack Vol. 1,01 09,dormant state; this card was only released in Simplified Chinese
,,Cinderace ex,Stellar Crown,157,Stellar-type Tera crown
,,Galvantula ex,Stellar Crown,159,
,,Galvantula ex,Stellar Crown,168,
,,Pikachu ex,Surging Sparks,219,
,,,Surging Sparks,247,
,,,Prismatic Evolutions,179,
,,Palossand ex,Surging Sparks,221,
,,Flygon ex,Surging Sparks,222,
,,Hydreigon ex,Surging Sparks,223,
,,Alolan Exeggutor ex,Surging Sparks,225,
,,,Surging Sparks,248,
,,Tatsugiri ex,Surging Sparks,226,
,,Cyclizar ex,Surging Sparks,228,
,,Pikachu ex,Surging Sparks,238,
,,Hydreigon ex,Surging Sparks,240,
,,Alolan Exeggutor ex,Surging Sparks,242,
,,Flareon ex,Prismatic Evolutions,146,
,,Ceruledge ex,Prismatic Evolutions,147,
,,Vaporeon ex,Prismatic Evolutions,149,
,,Glaceon ex,Prismatic Evolutions,150,
,,Sylveon ex,Prismatic Evolutions,156,
,,Umbreon ex,Prismatic Evolutions,161,
,,Eevee ex,SV Promos,174,
