Ndex,Cameo Pokémon,Card name,Set,#,Notes
650,Chespin,Inkay,XY-P Promos,-,Jumbo
,,Victory Ring,XY-P Promos,2nd,
,,Pikachu,XY-P Promos,-,
,,Pikachu,XY Promos,95,
,,Dedenne,BREAKthrough,57,
,,Snorlax,BREAKthrough,118,
,,Professor Sycamore,BREAKpoint,107a,
,,Professor Sycamore,Steam Siege,114,
,,Litten,SM-P Promos,259,
,,Inkay,SM-P Promos,261,
652,Chesnaught,Mewtwo-EX,BREAKthrough,164,
653,Fennekin,Inkay,XY-P Promos,-,Jumbo
,,Victory Ring,XY-P Promos,2nd,
,,Chikorita,BREAKpoint,1,
,,Sapporo's Pikachu,SM-P Promos,5,
,,Pikachu,XY-P Promos,-,picture
656,Froakie,Inkay,XY-P Promos,-,Jumbo
,,Victory Ring,XY-P Promos,2nd,
,,Frogadier,BREAKthrough,47,
,,Champions Festival,XY Promos,27,
,,Greninja,SWSH Promos,305,
,,Pikachu,XY-P Promos,-,picture
,,Champions Festival,SM Promos,231,
657,Frogadier,Froakie,BREAKthrough,46,
,,Greninja,SWSH Promos,305,
658,Greninja,Pikachu,Art Academy Promo,Ashley,
,,Gyarados-EX,BREAKpoint,123,
659,Bunnelby,Meditite,Celestial Storm,76,
,,Kricketune,Crown Zenith,GG02,
,,Lumiose City,Nihil Zero,110,
661,Fletchling,Pikachu,Roaring Skies,20,
,,Pikachu,SM Promos,157,
,,Arcanine,SWSH Promos,304,
,,Garganacl,Paradox Rift,202,
,,Clive,Paldean Fates,236,
,,Fletchinder,Paldea Evolved,199,picture
,,Corphish,Twilight Masquerade,47,sign
,,Postwick,Journey Together,154,weathervane
665,Talonflame,Inkay,XY-P Promos,-,Jumbo
,,Lacey,Prismatic Evolutions,175,silhouette
664,Scatterbug,Dudunsparce,Paldea Evolved,229,
,,Forest of Vitality,Nihil Zero,109,
666,Vivillon (Modern),Champions Festival,XY Promos,27,
,,Champions Festival,SM Promos,231,picture
,Vivillon (Ocean),Champions Festival,XY Promos,27,
,,Champions Festival,SM Promos,231,picture
,Vivillon (Poké Ball),Okuge-sama and Maiko-han Pikachu,XY-P Promos,221,hair accessory
667,Litleo,Ice Rider Calyrex V,Chilling Reign,164,
,,Pyroar,Paldea Evolved,199,
669,Flabébé,Inkay,XY-P Promos,-,Jumbo
,,Persian,Steam Siege,89,
,,Sylveon VMAX,Evolving Skies,212,
,,Pokémon Fan Club,Flashfire,94,plushie
,,,Generations,69,
,,,Fates Collide,107,
670,Floette,Diancie,Generations,RC22,
672,Skiddo,Gogoat,Lost Thunder,36,
673,Gogoat,Champions Festival,XY Promos,27,
,,Champions Festival,SM Promos,231,"picture, only partially visible"
674,Pancham,Inkay,XY-P Promos,-,Jumbo
,,Pikachu,XY-P Promos,90,
,,Dedenne,BREAKthrough,57,
,,Glaceon VMAX,Evolving Skies,209,
,,Pokémon Fan Club,Flashfire,94,plushie
,,,Generations,69,
,,,Fates Collide,107,
,,Pokémon Fan Club,Flashfire,106,
675,Pangoro,Detective Pikachu,SV-P Promos,98,
678,Meowstic,Espurr,Forbidden Light,44,teaser toy
,,Litten,Temporal Forces,167,picture
679,Honedge,Gourgeist,Art Academy Promo,rina,
681,Aegislash,Gourgeist,Art Academy Promo,rina,
682,Spritzee,Floette,XY Promos,139,
683,Aromatisse,Litten,SM-P Promos,259,picture
684,Swirlix,Slurpuff,Generations,RC20,
,,Slurpuff,Cosmic Eclipse,154,plushie
,,Slurpuff,Ascended Heroes,94,sweets
,,Pikachu,XY-P Promos,-,"picture, only partially visible"
686,Inkay,Meowth,Roaring Skies,67,
,,Litten,SM-P Promos,259,
,,Chespin,SM-P Promos,260,
,,Chespin,Art Academy Promo,Gabi,silhouette
690,Skrelp,Clauncher,Scarlet & Violet,205,
,,Wiglett,Scarlet & Violet,206,
692,Clauncher,Marill,Paldea Evolved,204,
694,Helioptile,Inkay,XY-P Promos,-,Jumbo
695,Heliolisk,Clemont,Generations,59,robot arm
,,Clemont's Quick Thinking,Surging Sparks,229,
696,Tyrunt,Grant,Crown Zenith,GG62,
,,Jaw Fossil,Furious Fists,94,fossil
,,Antique Jaw Fossil,Nihil Zero,68,
697,Tyrantrum,Roxanne,Crown Zenith,GG66,fossil
,,Pikachu at the Museum,MEP Promos,-,fossil; Jumbo
698,Amaura,Fossil Researcher,Furious Fists,110,
,,Grant,Crown Zenith,GG62,
,,Fossil Researcher,Furious Fists,92,fossil
,,Sail Fossil,Furious Fists,98,
,,Unidentified Fossil,Astral Radiance,157,
,,,Silver Tempest,165,
